nha,omat_selected_plant,omat_selected_supplier,omat_selected_suppliercd,suppcd_1050,suppcd_1060,suppcd_1090,suppcd_1900,suppcd_2000,suppcd_3120,suppcd_po1,suppcd_po2,suppcd_pr,suppname_1050,suppname_1060,suppname_1090,suppname_1900,suppname_2000,suppname_3120,suppname_po1,suppname_po2,suppname_pr
02-422230-00,,,,,,,,,,,,,,,,,,,,,
02-422231-00,2000,BENTEK CORPORATION,0001034088,0001034088,,,0001034088,0001034088,,,,,BENTEK CORPORATION,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
02-422231-00,2000,BENTEK CORPORATION,0001034088,0001034088,,,0001034088,0001034088,,,,,BENTEK CORPORATION,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
02-422231-00,2000,BENTEK CORPORATION,0001034088,0001034088,,,0001034088,0001034088,,,,,BENTEK CORPORATION,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
02-422231-00,2000,BENTEK CORPORATION,0001034088,0001034088,,,0001034088,0001034088,,,,,BENTEK CORPORATION,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
02-422231-00,2000,BENTEK CORPORATION,0001034088,0001034088,,,0001034088,0001034088,,,,,BENTEK CORPORATION,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
02-422231-00,2000,BENTEK CORPORATION,0001034088,0001034088,,,0001034088,0001034088,,,,,BENTEK CORPORATION,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
02-422231-00,2000,BENTEK CORPORATION,0001034088,0001034088,,,0001034088,0001034088,,,,,BENTEK CORPORATION,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
02-422231-00,2000,BENTEK CORPORATION,0001034088,0001034088,,,0001034088,0001034088,,,,,BENTEK CORPORATION,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
02-449128-00,2000,PACIFIC STAINLESS PRODUCTS INC,0001034406,,,,0001034406,0001034406,,,,,,,,PACIFIC STAINLESS PRODUCTS INC,PACIFIC STAINLESS PRODUCTS INC,,,,
02-449128-00,2000,PACIFIC STAINLESS PRODUCTS INC,0001034406,,,,0001034406,0001034406,,,,,,,,PACIFIC STAINLESS PRODUCTS INC,PACIFIC STAINLESS PRODUCTS INC,,,,
02-449128-00,2000,PACIFIC STAINLESS PRODUCTS INC,0001034406,,,,0001034406,0001034406,,,,,,,,PACIFIC STAINLESS PRODUCTS INC,PACIFIC STAINLESS PRODUCTS INC,,,,
02-449128-00,2000,PACIFIC STAINLESS PRODUCTS INC,0001034406,,,,0001034406,0001034406,,,,,,,,PACIFIC STAINLESS PRODUCTS INC,PACIFIC STAINLESS PRODUCTS INC,,,,
02-449128-00,2000,PACIFIC STAINLESS PRODUCTS INC,0001034406,,,,0001034406,0001034406,,,,,,,,PACIFIC STAINLESS PRODUCTS INC,PACIFIC STAINLESS PRODUCTS INC,,,,
02-449128-00,2000,PACIFIC STAINLESS PRODUCTS INC,0001034406,,,,0001034406,0001034406,,,,,,,,PACIFIC STAINLESS PRODUCTS INC,PACIFIC STAINLESS PRODUCTS INC,,,,
02-449128-00,2000,PACIFIC STAINLESS PRODUCTS INC,0001034406,,,,0001034406,0001034406,,,,,,,,PACIFIC STAINLESS PRODUCTS INC,PACIFIC STAINLESS PRODUCTS INC,,,,
02-449128-00,2000,PACIFIC STAINLESS PRODUCTS INC,0001034406,,,,0001034406,0001034406,,,,,,,,PACIFIC STAINLESS PRODUCTS INC,PACIFIC STAINLESS PRODUCTS INC,,,,
02-449130-00,2000,PACIFIC STAINLESS PRODUCTS INC,0001034406,,,,0001034406,0001034406,,,,,,,,PACIFIC STAINLESS PRODUCTS INC,PACIFIC STAINLESS PRODUCTS INC,,,,
02-449130-00,2000,PACIFIC STAINLESS PRODUCTS INC,0001034406,,,,0001034406,0001034406,,,,,,,,PACIFIC STAINLESS PRODUCTS INC,PACIFIC STAINLESS PRODUCTS INC,,,,
02-449130-00,2000,PACIFIC STAINLESS PRODUCTS INC,0001034406,,,,0001034406,0001034406,,,,,,,,PACIFIC STAINLESS PRODUCTS INC,PACIFIC STAINLESS PRODUCTS INC,,,,
02-449130-00,2000,PACIFIC STAINLESS PRODUCTS INC,0001034406,,,,0001034406,0001034406,,,,,,,,PACIFIC STAINLESS PRODUCTS INC,PACIFIC STAINLESS PRODUCTS INC,,,,
02-449439-02,2000,PLEXUS CORP,0001034118,,,,0001034118,0001034118,,,,,,,,PLEXUS CORP,PLEXUS CORP,,,,
02-449439-02,2000,PLEXUS CORP,0001034118,,,,0001034118,0001034118,,,,,,,,PLEXUS CORP,PLEXUS CORP,,,,
02-449439-02,2000,PLEXUS CORP,0001034118,,,,0001034118,0001034118,,,,,,,,PLEXUS CORP,PLEXUS CORP,,,,
02-449439-02,2000,PLEXUS CORP,0001034118,,,,0001034118,0001034118,,,,,,,,PLEXUS CORP,PLEXUS CORP,,,,
02-449439-02,2000,PLEXUS CORP,0001034118,,,,0001034118,0001034118,,,,,,,,PLEXUS CORP,PLEXUS CORP,,,,
02-449439-02,2000,PLEXUS CORP,0001034118,,,,0001034118,0001034118,,,,,,,,PLEXUS CORP,PLEXUS CORP,,,,
02-449439-02,2000,PLEXUS CORP,0001034118,,,,0001034118,0001034118,,,,,,,,PLEXUS CORP,PLEXUS CORP,,,,
02-449439-02,2000,PLEXUS CORP,0001034118,,,,0001034118,0001034118,,,,,,,,PLEXUS CORP,PLEXUS CORP,,,,
02-450030-00,2000,BENTEK CORPORATION,0001034088,0001034088,,,0001034088,0001034088,,,,,BENTEK CORPORATION,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
02-450030-00,2000,BENTEK CORPORATION,0001034088,0001034088,,,0001034088,0001034088,,,,,BENTEK CORPORATION,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
02-450030-00,2000,BENTEK CORPORATION,0001034088,0001034088,,,0001034088,0001034088,,,,,BENTEK CORPORATION,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
02-450030-00,2000,BENTEK CORPORATION,0001034088,0001034088,,,0001034088,0001034088,,,,,BENTEK CORPORATION,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
02-450030-00,2000,BENTEK CORPORATION,0001034088,0001034088,,,0001034088,0001034088,,,,,BENTEK CORPORATION,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
02-450030-00,2000,BENTEK CORPORATION,0001034088,0001034088,,,0001034088,0001034088,,,,,BENTEK CORPORATION,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
02-450030-00,2000,BENTEK CORPORATION,0001034088,0001034088,,,0001034088,0001034088,,,,,BENTEK CORPORATION,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
02-450030-00,2000,BENTEK CORPORATION,0001034088,0001034088,,,0001034088,0001034088,,,,,BENTEK CORPORATION,,,BENTEK CORPORATION,BENTEK CORPORATION,,,,
